,keys,groups,values,name
0,BananaHitsEnemyOnly,Combat,21.0,76561198341440909
1,EnemyArmorBroken,Combat,2517.0,76561198341440909
2,DestructiblesDestroyed,Combat,7513.0,76561198341440909
3,BananaHits,Combat,42.0,76561198341440909
4,DamageDealt,Combat,217443.0,76561198341440909
5,SkunkBombDamageDealt,Combat,1554.0,76561198341440909
6,Healing,Combat,6102.0,76561198341440909
7,WinsCustom1B,Custom1B,6.0,76561198341440909
8,KillsCustom1B,Custom1B,130.0,76561198341440909
9,FlagCapsB,Custom1B,5.0,76561198341440909
10,MostKillsCustom1B,Custom1B,33.0,76561198341440909
11,GamesCustom1B,Custom1B,9.0,76561198341440909
12,DeathsCustom1B,Custom1B,32.0,76561198341440909
13,KillsDuos,Duos,742.0,76561198341440909
14,Top3Duos,Duos,120.0,76561198341440909
15,MostKillsDuos,Duos,16.0,76561198341440909
16,DeathsDuos,Duos,270.0,76561198341440909
17,WinsDuos,Duos,52.0,76561198341440909
18,GamesDuos,Duos,317.0,76561198341440909
19,CandyCorn,Event,67058.0,76561198341440909
20,MeleeKills,Kill Statistics,11.0,76561198341440909
21,KillsSMG,Kill Statistics,246.0,76561198341440909
22,KillsMinigun,Kill Statistics,27.0,76561198341440909
23,KillsDualPistol,Kill Statistics,25.0,76561198341440909
24,KillsMagnum,Kill Statistics,28.0,76561198341440909
25,KillsM16,Kill Statistics,56.0,76561198341440909
26,VehicleKills,Kill Statistics,6.0,76561198341440909
27,KillsDart,Kill Statistics,17.0,76561198341440909
28,KillsThomas,Kill Statistics,58.0,76561198341440909
29,EmuKills,Kill Statistics,15.0,76561198341440909
30,KillsSilencedPistol,Kill Statistics,39.0,76561198341440909
31,KillsPistol,Kill Statistics,16.0,76561198341440909
32,KillsHuntingRifle,Kill Statistics,1.0,76561198341440909
33,KillsSniper,Kill Statistics,15.0,76561198341440909
34,KillsDeagle,Kill Statistics,26.0,76561198341440909
35,KillsBow,Kill Statistics,1.0,76561198341440909
36,KillsAK,Kill Statistics,282.0,76561198341440909
